ProductID,ProductName,Category,UnitPrice,YearReleased,MonthPurchased,OrderingSKU,SupplierName
2046,Clothing-Worry,Clothing,33.43,2017,November,1000059019,Spotted Turtle Boutique
2047,Clothing-Hair,Office,334.98,1989,September,1000006076,Dunder Mifflin Paper Company
2048,Electronics-Candidate,Home,357.63,2013,July,1000061137,Country Farm Homemakers
2049,Office-Easy,Home,939.84,2022,August,1000041793,Cave and Hive Décor
2050,Electronics-Young,Home,186.78,2002,August,1000078548,Country Farm Homemakers
2051,Home-Century,Electronics,117.32,2011,May,1000049990,Mark's Cool Gadgets
2052,Office-Year,Home,731.26,2022,April,1000005040,Cave and Hive Décor
2053,Home-Ground,Office,610.15,1989,March,1000066594,Dunder Mifflin Paper Company
2054,Electronics-Above,Office,900.51,1995,March,1000005689,Dunder Mifflin Paper Company
2055,Clothing-Politics,Home,53.94,2012,June,1000040674,Country Farm Homemakers
2056,Office-About,Electronics,524.72,1999,June,1000093751,Mark's Cool Gadgets
2057,Clothing-Identify,Home,436.98,2015,July,1000033341,Country Farm Homemakers
2058,Home-Wear,Home,666.75,2002,November,1000070067,Country Farm Homemakers
2059,Electronics-Clear,Home,512.05,2005,April,1000035640,Country Farm Homemakers
2060,Office-Term,Home,408.38,2019,November,1000018173,Country Farm Homemakers
2061,Home-Quite,Clothing,199.92,2017,November,1000027318,Spotted Turtle Boutique
2062,Office-Receive,Clothing,619.36,2002,April,1000097906,Artificial Dreams
2063,Home-Good,Office,552.46,2004,February,1000068960,Dunder Mifflin Paper Company
2064,Electronics-Stop,Home,294.04,1989,May,1000058587,Cave and Hive Décor
2065,Office-Animal,Home,470.34,2010,December,1000056706,Country Farm Homemakers
2066,Office-Occur,Clothing,516.06,1996,June,1000032999,Spotted Turtle Boutique
2067,Clothing-Remain,Electronics,290.95,2016,April,1000086568,Pinball Wizard Electronics
2068,Home-Read,Electronics,820.24,2003,October,1000096123,Pinball Wizard Electronics
2069,Clothing-Garden,Home,232.39,1998,June,1000016550,Country Farm Homemakers
2070,Clothing-About,Clothing,34.18,2008,March,1000075354,Spotted Turtle Boutique
2071,Clothing-Success,Office,615.16,1998,July,1000071993,Corrugated Supply Shop
2072,Electronics-Become,Office,420.3,1989,May,1000017460,Corrugated Supply Shop
2073,Clothing-Executive,Office,499.43,2004,September,1000035445,Corrugated Supply Shop
2074,Clothing-Strong,Clothing,659.5,1997,October,1000026249,Spotted Turtle Boutique
2075,Electronics-Letter,Electronics,780.64,2004,May,1000022972,Pinball Wizard Electronics
2076,Clothing-Affect,Clothing,806.07,2023,June,1000026563,Spotted Turtle Boutique
2077,Office-Ball,Electronics,561.83,1990,January,1000082995,Pinball Wizard Electronics
2078,Electronics-Film,Office,142.01,2019,June,1000074619,Corrugated Supply Shop
2079,Office-Who,Home,950.54,2020,August,1000048686,Country Farm Homemakers
2080,Office-Doctor,Office,832.26,2015,September,1000068039,Dunder Mifflin Paper Company
2081,Office-Light,Clothing,746.22,2021,July,1000049894,Spotted Turtle Boutique
2082,Office-Figure,Office,266.6,2007,May,1000048883,Dunder Mifflin Paper Company
2083,Clothing-Cut,Home,768.16,2012,March,1000019543,Country Farm Homemakers
2084,Office-Stuff,Clothing,281.85,1990,December,1000063672,Spotted Turtle Boutique
2085,Electronics-Officer,Home,242.15,2013,July,1000087622,Cave and Hive Décor
2086,Home-Of,Home,894.1,1993,October,1000058866,Country Farm Homemakers
2087,Electronics-Rather,Clothing,159.32,1998,June,1000052609,Spotted Turtle Boutique
2088,Office-Evening,Clothing,709.35,1999,June,1000006331,Spotted Turtle Boutique
2089,Electronics-Action,Office,413.52,2003,January,1000085584,Dunder Mifflin Paper Company
2090,Office-Staff,Office,71.64,2023,June,1000011905,Dunder Mifflin Paper Company
2091,Office-Mrs,Office,905.79,2013,July,1000045807,Corrugated Supply Shop
2092,Electronics-Add,Office,482.21,2012,July,1000080508,Dunder Mifflin Paper Company
2093,Home-Real,Home,755.94,1991,February,1000031028,Cave and Hive Décor
2094,Office-Fight,Clothing,493.35,1993,February,1000074354,Artificial Dreams
2095,Home-Seem,Office,490.79,1995,February,1000025702,Corrugated Supply Shop
2096,Office-Discuss,Home,672.18,1997,February,1000061570,Country Farm Homemakers
2097,Office-Recent,Clothing,842.1,2013,August,1000092240,Spotted Turtle Boutique
2098,Clothing-Trouble,Electronics,907.86,1996,July,1000047824,Pinball Wizard Electronics
2099,Electronics-Several,Electronics,646.32,2006,August,1000071056,Pinball Wizard Electronics
