ProductID,ProductName,Category,UnitPrice,YearReleased,MonthPurchased,OrderingSKU,SupplierName
2056,About,Electronics,524.72,2008,June,1000093751,Mark's Cool Gadgets
2057,Identify,Home,436.98,1996,July,1000033341,Country Farm Homemakers
2058,Wear,Home,666.75,2012,November,1000070067,Country Farm Homemakers
2059,Clear,Home,512.05,2015,April,1000035640,Country Farm Homemakers
2060,Term,Home,408.38,2001,November,1000018173,Country Farm Homemakers
2061,Quite,Clothing,199.92,2010,November,1000027318,Spotted Turtle Boutique
2062,Receive,Clothing,619.36,2015,April,1000097906,Artificial Dreams
2063,Good,Office,552.46,2010,February,1000068960,Dunder Mifflin Paper Company
2064,Stop,Home,294.04,1991,May,1000058587,Cave and Hive Décor
2065,Animal,Home,470.34,2015,December,1000056706,Country Farm Homemakers
2066,Occur,Clothing,516.06,2012,June,1000032999,Spotted Turtle Boutique
2067,Remain,Electronics,290.95,2011,April,1000086568,Pinball Wizard Electronics
2068,Read,Electronics,820.24,2014,October,1000096123,Pinball Wizard Electronics
2069,Garden,Home,232.39,2010,June,1000016550,Country Farm Homemakers
2070,About,Clothing,34.18,1994,March,1000075354,Spotted Turtle Boutique
2071,Success,Office,615.16,2024,July,1000071993,Corrugated Supply Shop
2072,Become,Office,420.30,2022,May,1000017460,Corrugated Supply Shop
2073,Executive,Office,499.43,2021,September,1000035445,Corrugated Supply Shop
2074,Strong,Clothing,659.50,2015,October,1000026249,Spotted Turtle Boutique
2075,Letter,Electronics,780.64,2015,May,1000022972,Pinball Wizard Electronics
2076,Affect,Clothing,806.07,1989,June,1000026563,Spotted Turtle Boutique
2077,Ball,Electronics,561.83,1992,January,1000082995,Pinball Wizard Electronics
2078,Film,Office,142.01,2015,June,1000074619,Corrugated Supply Shop
2079,Who,Home,950.54,2015,August,1000048686,Country Farm Homemakers
2080,Doctor,Office,832.26,2022,September,1000068039,Dunder Mifflin Paper Company
2081,Light,Clothing,746.22,2012,July,1000049894,Spotted Turtle Boutique
2082,Figure,Office,266.60,1993,May,1000048883,Dunder Mifflin Paper Company
2083,Cut,Home,768.16,2013,March,1000019543,Country Farm Homemakers
2084,Stuff,Clothing,281.85,2008,December,1000063672,Spotted Turtle Boutique
2085,Officer,Home,242.15,1992,July,1000087622,Cave and Hive Décor
2086,Of,Home,894.10,2023,October,1000058866,Country Farm Homemakers
2087,Rather,Clothing,159.32,1998,June,1000052609,Spotted Turtle Boutique
2088,Evening,Clothing,709.35,2001,June,1000006331,Spotted Turtle Boutique
2089,Action,Office,413.52,2015,January,1000085584,Dunder Mifflin Paper Company
2090,Staff,Office,71.64,2015,June,1000011905,Dunder Mifflin Paper Company
2091,Mrs,Office,905.79,2014,July,1000045807,Corrugated Supply Shop
2092,Add,Office,482.21,2013,July,1000080508,Dunder Mifflin Paper Company
2093,Real,Home,755.94,1995,February,1000031028,Cave and Hive Décor
2094,Fight,Clothing,493.35,2018,February,1000074354,Artificial Dreams
2095,Seem,Office,490.79,2001,February,1000025702,Corrugated Supply Shop
2096,Discuss,Home,672.18,2005,February,1000061570,Country Farm Homemakers
2097,Recent,Clothing,842.10,1989,August,1000092240,Spotted Turtle Boutique
2098,Trouble,Electronics,907.86,1997,July,1000047824,Pinball Wizard Electronics
2099,Several,Electronics,646.32,2003,August,1000071056,Pinball Wizard Electronics
